name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Jeff Skinner,BUF,L,all,30,31965,22,12
Adam Edstrom,NYR,C,all,1,579,1,1
Frank Vatrano,ANA,R,all,29,31563,23,14
Filip Forsberg,NSH,L,all,30,34177,35,16
Ivan Barbashev,VGK,C,all,31,27845,14,7
Ryker Evans,SEA,D,all,5,5458,3,0
Nicholas Robertson,TOR,L,all,16,10248,8,3
Jack Studnicka,VAN,C,all,5,3057,1,1
David Pastrnak,BOS,R,all,28,33316,41,17
Roman Josi,NSH,D,all,30,44466,26,7
Mario Ferraro,SJS,D,all,30,40558,5,1
Justin Barron,MTL,D,all,26,31137,8,5
Alec Martinez,VGK,D,all,14,16255,4,3
Gustav Nyquist,NSH,C,all,30,30553,20,4
Alexis Lafrenire,NYR,L,all,28,28290,16,8
Alexander Barabanov,SJS,L,all,12,12601,4,1
Nazem Kadri,CGY,C,all,30,33183,22,8
Ryan Johansen,COL,C,all,29,25021,11,9
Josh Morrissey,WPG,D,all,28,41329,24,5
Matthew Knies,TOR,L,all,25,21936,11,6
Connor Clifton,BUF,D,all,28,26036,7,0
Ryan Graves,PIT,D,all,28,34530,5,1
Trey Fix-Wolansky,CBJ,R,all,1,752,0,0
Filip Chytil,NYR,C,all,10,9558,6,0
Jeff Petry,DET,D,all,22,24669,8,0
Casey Cizikas,NYI,C,all,29,23604,10,5
Hugh McGing,STL,L,all,3,1259,0,0
Mackenzie MacEachern,STL,L,all,1,528,0,0
Marin Studenic,SEA,R,all,2,973,0,0
Jani Hakanp,DAL,D,all,28,31636,5,0
William Nylander,TOR,R,all,27,33499,38,14
Mark Giordano,TOR,D,all,20,21441,5,1
Miro Heiskanen,DAL,D,all,28,42442,20,4
Charlie Coyle,BOS,C,all,28,30049,20,10
Drake Batherson,OTT,R,all,25,26749,22,10
Justin Sourdif,FLA,R,all,3,1591,0,0
Tyler Seguin,DAL,C,all,28,27795,20,9
Kaapo Kakko,NYR,R,all,20,16255,3,2
Joe Pavelski,DAL,C,all,28,27272,27,13
Liam O'Brien,ARI,C,all,29,17366,6,2
Adam Fantilli,CBJ,C,all,31,28450,16,8
Callahan Burke,CAR,C,all,1,426,0,0
Sam Malinski,COL,D,all,7,5733,4,1
Jamie Drysdale,ANA,D,all,2,2700,2,0
Ryan Strome,ANA,C,all,28,26738,17,3
Jujhar Khaira,MIN,L,all,1,485,0,0
Shayne Gostisbehere,DET,D,all,28,32294,21,5
Matt Nieto,PIT,L,all,22,15327,4,1
Colin Miller,NJD,D,all,13,11658,1,0
Jansen Harkins,PIT,C,all,13,6366,0,0
Andrew Mangiapane,CGY,L,all,29,27397,15,6
Beck Malenstyn,WSH,L,all,26,20925,6,2
Tanner Jeannot,TBL,L,all,31,24192,11,6
Bo Groulx,ANA,C,all,19,14646,1,0
Radko Gudas,ANA,D,all,28,31012,8,4
Dakota Joshua,VAN,C,all,29,22651,10,6
Ryan Hartman,MIN,R,all,24,23387,13,7
Noel Acciari,PIT,C,all,22,16246,3,2
Jacob MacDonald,SJS,D,all,13,9647,5,4
Cal Clutterbuck,NYI,R,all,29,22683,10,4
Jake Neighbours,STL,L,all,29,25242,11,10
Anthony Beauvillier,CHI,L,all,29,24398,10,3
Michael McLeod,NJD,C,all,27,23221,10,5
Erik Cernak,TBL,D,all,30,35122,5,0
Marcus Pettersson,PIT,D,all,28,37360,6,0
J.J. Moser,ARI,D,all,29,34657,14,2
Akito Hirose,VAN,D,all,3,2179,0,0
Eeli Tolvanen,SEA,R,all,31,29919,20,8
Jesper Boqvist,BOS,C,all,2,649,0,0
Brayden Point,TBL,C,all,31,37873,33,13
Hardy Haman Aktell,WSH,D,all,6,3827,1,0
Devon Toews,COL,D,all,29,41936,15,4
Yakov Trenin,NSH,C,all,29,27232,8,6
Pierre-Edouard Bellemare,SEA,L,all,27,15778,5,4
Morgan Geekie,BOS,C,all,22,19253,10,4
Givani Smith,SJS,R,all,25,11751,3,1
Matt Boldy,MIN,L,all,20,20510,17,8
Logan O'Connor,COL,R,all,27,23173,8,4
Dmitri Voronkov,CBJ,L,all,25,19644,15,6
Max Jones,ANA,L,all,25,17856,7,3
Dylan Cozens,BUF,C,all,29,29041,16,5
Radim Zohorna,PIT,L,all,23,15146,6,3
John Klingberg,TOR,D,all,14,17263,5,0
Aleksander Barkov,FLA,C,all,26,31080,28,10
Brady Skjei,CAR,D,all,30,38012,18,5
Joel Edmundson,WSH,D,all,12,11274,1,0
Mitchell Chaffee,TBL,R,all,1,416,0,0
Liam Foudy,NSH,C,all,13,7782,3,0
John Marino,NJD,D,all,27,33720,12,1
Jeff Carter,PIT,C,all,22,14285,4,3
Matt Dumba,ARI,D,all,28,33441,4,2
Jake McCabe,TOR,D,all,21,25370,7,1
Anthony Mantha,WSH,R,all,22,17509,11,7
Brandon Carlo,BOS,D,all,28,34473,6,1
Jakub Vrana,STL,L,all,19,14014,6,2
Nick Bjugstad,ARI,C,all,29,30594,19,6
Andrew Poturalski,SEA,C,all,2,825,0,0
Sean Couturier,PHI,C,all,27,31843,21,7
Nikita Okhotiuk,SJS,D,all,20,21437,6,0
Trevor Lewis,LAK,C,all,26,18387,6,3
Christian Dvorak,MTL,C,all,19,17906,5,1
Alex Killorn,ANA,L,all,19,20510,8,3
Frederick Gaudreau,MIN,C,all,17,14155,3,1
Brenden Dillon,WPG,D,all,28,31174,9,5
Wyatt Kaiser,CHI,D,all,21,20879,4,0
Kyle Burroughs,SJS,D,all,29,33371,4,0
Alex Vlasic,CHI,D,all,27,32572,6,1
Blake Lizotte,LAK,C,all,20,14091,7,4
Dawson Mercer,NJD,C,all,27,28000,11,7
Tony DeAngelo,CAR,D,all,19,17062,9,2
Dylan Samberg,WPG,D,all,28,24714,7,0
Jarred Tinordi,CHI,D,all,12,10590,1,0
Vladislav Namestnikov,WPG,C,all,25,22506,12,2
Marcus Foligno,MIN,L,all,27,23647,10,3
Taylor Raddysh,CHI,R,all,29,28508,7,5
Ty Emberson,SJS,D,all,16,17136,4,1
Vinnie Hinostroza,PIT,C,all,12,7240,3,1
Tage Thompson,BUF,C,all,22,24765,15,7
Noah Hanifin,CGY,D,all,30,41811,15,5
Owen Tippett,PHI,R,all,29,26530,18,10
Conor Garland,VAN,R,all,30,23704,10,2
Cody Glass,NSH,C,all,12,9713,1,0
Nicolas Hague,VGK,D,all,23,26021,5,1
Steven Lorentz,FLA,C,all,22,11195,3,1
Ryan Lomberg,FLA,L,all,29,16225,2,2
Dryden Hunt,CGY,L,all,4,3059,0,0
Linus Karlsson,VAN,C,all,3,1878,0,0
Trent Frederic,BOS,C,all,28,21791,12,6
Brendan Smith,NJD,D,all,22,19051,2,0
Jesper Fast,CAR,R,all,30,24651,7,2
Artem Zub,OTT,D,all,18,22201,8,2
Simon Nemec,NJD,D,all,6,7484,3,1
Jack McBain,ARI,C,all,14,10162,7,4
Brandon Duhaime,MIN,R,all,27,16380,5,4
Vladislav Kolyachonok,ARI,D,all,1,369,0,0
Uvis Balinskis,FLA,D,all,18,14722,2,1
Zack MacEwen,OTT,R,all,11,3272,1,0
Robby Fabbri,DET,C,all,17,14335,15,9
Juuso Parssinen,NSH,C,all,29,26234,9,6
Scott Perunovich,STL,D,all,17,14444,2,0
Tyson Jost,BUF,C,all,26,17141,4,2
Reilly Smith,PIT,R,all,28,27929,15,7
Justin Holl,DET,D,all,22,20226,3,0
Torey Krug,STL,D,all,29,37452,13,1
Charlie McAvoy,BOS,D,all,21,30430,18,3
Ross Colton,COL,C,all,29,23628,14,8
Caleb Jones,COL,D,all,12,9176,2,0
